Time,Event,Player,Team
End,237.58,danp,Red,Return
End,237.58,danp,Red,Drop Opponent flag
End,244.53,danp,Red,Return
End,265.43,danp,Red,Return
End,277.72,danp,Red,Return
End,350.05,danp,Red,Drop Opponent flag
End,378.07,danp,Red,Return
End,385.78,danp,Red,Drop Opponent flag
End,396.35,danp,Red,Drop Opponent flag
End,436.88,danp,Red,Drop Opponent flag
End,276.78,CreedBratton,Red,Drop Opponent flag
End,34.00,Chritt,Red,Return
End,132.50,Chritt,Red,Drop Opponent flag
End,154.98,Chritt,Red,Return
End,189.35,Chritt,Red,Drop Opponent flag
End,202.08,Chritt,Red,Return
End,261.65,Chritt,Red,Drop Opponent flag
End,267.47,Chritt,Red,Return
End,290.33,Chritt,Red,Drop Opponent flag
End,326.32,Chritt,Red,Return
End,361.63,Chritt,Red,Drop Opponent flag
End,377.83,Chritt,Red,Drop Opponent flag
End,411.18,CreedBratton,Red,Drop Opponent flag
End,27.42,Jarek,Red,Drop Opponent flag
End,78.80,Jarek,Red,Return
End,92.85,Jarek,Red,Return
End,110.33,Jarek,Red,Return
End,287.68,Jarek,Red,Return
End,74.12,danp,Red,Return
End,295.52,Jarek,Red,Drop Opponent flag
End,309.72,Jarek,Red,Drop Opponent flag
End,353.25,Jarek,Red,Drop Opponent flag
End,373.42,Jarek,Red,Return
End,373.42,Jarek,Red,Drop Opponent flag
End,379.63,Jarek,Red,Return
End,224.30,CreedBratton,Red,Return
End,241.62,danp,Red,Return
End,246.45,danp,Red,Return
End,403.73,Jarek,Red,Return
End,291.08,danp,Red,Return
End,451.82,Jarek,Red,Return
End,404.23,danp,Red,Return
End,474.45,Jarek,Red,Drop Opponent flag
End,452.18,danp,Red,Capture Opponent flag
End,296.50,CreedBratton,Red,Return
End,25.47,Chritt,Red,Drop Opponent flag
End,68.25,Chritt,Red,Return
End,68.25,Chritt,Red,Drop Opponent flag
End,342.70,CreedBratton,Red,Drop Opponent flag
End,172.32,Chritt,Red,Return
End,245.90,Chritt,Red,Capture Opponent flag
End,373.33,CreedBratton,Red,Drop Opponent flag
End,416.35,Chritt,Red,Drop Opponent flag
End,442.78,Chritt,Red,Capture Opponent flag
End,458.75,Chritt,Red,Drop Opponent flag
End,493.42,Chritt,Red,Return
End,431.33,CreedBratton,Red,Return
End,437.52,CreedBratton,Red,Return
End,461.25,CreedBratton,Red,Return
End,484.27,CreedBratton,Red,Drop Opponent flag
